INGREDIENT	Subquery	Subquery	Subquery	Subquery
cherries	cherries natural	cerezas rojas naturales	cerezas frescas	cherries red fresh
blackberry	blackberry fruit in hindi	blackberry fruit natural fresh	mora negra fruta	mora fruta negra natural
blueberry	blueberry fresh	blueberry natural photo	arandano fresco	arandano natural foto
figs	figs fresh	natural fig photo	higo fresco	foto higo natural
grapefruit	grapefuit natural	sliced grapefruit	pomelo natural	pomelo cortado
Apricot	fresh apricot	natural apricot	albaricoque natural	albaricoque fresco
